from,to,reason
/api,/api,already-canonical
/faqs,/faq,legacy-normalization
/creating-a-dockerhub-account,/guides/creating-a-dockerhub-account,legacy-normalization
/install-docker-on-centos,/guides/install-docker-on-centos,legacy-normalization
/install-docker-on-ubuntu-or-debian,/guides/install-docker-on-ubuntu-or-debian,legacy-normalization
/download-your-artifacts,/api/download-your-artifacts,legacy-normalization
/troubleshooting,/troubleshooting,already-canonical
/list-current-sessions,/api/list-current-sessions,legacy-normalization
/untitled,/api,legacy-normalization
/list-available-locations,/api/list-available-locations,legacy-normalization
/selecting-the-correct-build,/guides/selecting-the-correct-build,legacy-normalization
/orchestrator-v2-migration-guide,/guides/orchestrator-v2-migration-guide,legacy-normalization
/bare-metal,/guides/bare-metal,legacy-normalization
/get-all-logs,/api/get-all-logs,legacy-normalization
/api-reference,/api/api-reference,legacy-normalization
/get-real-time-logs,/api/get-real-time-logs,legacy-normalization
/error-handling,/api/error-handling,legacy-normalization
/gameye-session-api,/api/gameye-session-api,legacy-normalization
/download-an-artifact-file-from-the-underlying-container,/api/download-an-artifact-file-from-the-underlying-container,legacy-normalization
/17ED-untitled,/guides/user-manual,legacy-normalization
/user-manual,/guides/user-manual,legacy-normalization
/nodes,/guides/nodes,legacy-normalization
/applications,/guides/applications,legacy-normalization
/stop-a-session,/api/stop-a-session,legacy-normalization
/getting-started,/getting-started,already-canonical
/lists-a-collection-of-active-sessions,/api/lists-a-collection-of-active-sessions,legacy-normalization
/available-locations,/api/available-locations,legacy-normalization
/log-streaming,/api/log-streaming,legacy-normalization
/describes-a-single-session,/api/describes-a-single-session,legacy-normalization
/tag-verification,/api/tag-verification,legacy-normalization
/get-a-list-of-available-locations,/api/get-a-list-of-available-locations,legacy-normalization
/authentication,/api/authentication,legacy-normalization
/gameye-session-api-overview,/api/gameye-session-api-overview,legacy-normalization
/active-containers,/guides/active-containers,legacy-normalization
/regions-and-locations,/api/regions-and-locations,legacy-normalization
/using-photon-fusion,/guides/using-photon-fusion,legacy-normalization
/using-container-labels,/guides/using-container-labels,legacy-normalization
/AwP7-faqs,/faq,legacy-normalization
/cloud,/guides/cloud,legacy-normalization
/image-registry,/guides/image-registry,legacy-normalization
/container,/guides/container,legacy-normalization
/flex-metal,/guides/flex-metal,legacy-normalization
/session,/api/session,legacy-normalization
/matchmaker,/guides/matchmaker,legacy-normalization
/sessionid,/api/sessionid,legacy-normalization
/how-does-gameye-scale,/faq/how-does-gameye-scale,legacy-normalization
/3-sort-and-push-your-docker-file,/getting-started/3-sort-and-push-your-docker-file,legacy-normalization
/1-set-up-your-docker-hub-account,/getting-started/1-set-up-your-docker-hub-account,legacy-normalization
/users,/guides/users,legacy-normalization
/external-links,/guides/external-links,legacy-normalization
/session-management,/api/session-management,legacy-normalization
/layout-and-navigation,/guides/layout-and-navigation,legacy-normalization
/dashboard,/guides/dashboard,legacy-normalization
/common-screen-patterns,/guides/common-screen-patterns,legacy-normalization
/port-bindings,/guides/port-bindings,legacy-normalization
/launch-a-session,/api/launch-a-session,legacy-normalization
/open-api-spec,/api/open-api-spec,legacy-normalization
/integrations,/guides/integrations,legacy-normalization
/getting-support,/guides/getting-support,legacy-normalization
/giving-feedback,/guides/giving-feedback,legacy-normalization
/4-configure-your-ports,/getting-started/4-configure-your-ports,legacy-normalization
/,/,already-canonical
/getting-ready-to-start,/getting-started/getting-ready-to-start,legacy-normalization
/5-start-the-api-call,/getting-started/5-start-the-api-call,legacy-normalization
/2-set-up-your-organization-on-gameye,/getting-started/2-set-up-your-organization-on-gameye,legacy-normalization
/artifacts,/api/artifacts,legacy-normalization
/check-if-tag-exists-in-the-gameye-fleet,/api/check-if-tag-exists-in-the-gameye-fleet,legacy-normalization
/sessionplayerjoin,/api/sessionplayerjoin,legacy-normalization
/get-logs,/api/get-logs,legacy-normalization
/sessionplayerleave,/api/sessionplayerleave,legacy-normalization
/1thL-open-api-spec,/api/open-api-spec,legacy-normalization
/UyLw-troubleshooting,/troubleshooting,legacy-normalization
/tags,/guides/tags,legacy-normalization
/regions,/guides/regions,legacy-normalization
/images,/guides/images,legacy-normalization
/profile,/guides/profile,legacy-normalization
/rZVy-getting-started,/getting-started,legacy-normalization
/containers-history,/guides/containers-history,legacy-normalization
/customer-dashboard,/guides/customer-dashboard,legacy-normalization
/working-with-docker,/guides/working-with-docker,legacy-normalization
/using-variables,/guides/using-variables,legacy-normalization
/generating-logs,/guides/generating-logs,legacy-normalization
/guides,/guides,already-canonical
/using-gameye,/guides/using-gameye,legacy-normalization
/support,/guides/support,legacy-normalization
/troubleshooting-problems,/troubleshooting/troubleshooting-problems,legacy-normalization
/is-gameye-free-to-use,/faq/is-gameye-free-to-use,legacy-normalization
/do-you-require-authorisation-to-use-the-api,/faq/do-you-require-authorisation-to-use-the-api,legacy-normalization
/how-do-i-start-using-gameye,/faq/how-do-i-start-using-gameye,legacy-normalization
/what-is-the-difference-between-a-location-and-a-region,/faq/what-is-the-difference-between-a-location-and-a-region,legacy-normalization
/region,/guides/region,legacy-normalization
/docker,/guides/docker,legacy-normalization
/glossary,/guides/glossary,legacy-normalization
/changelogs,/changelog,legacy-normalization
